name,system,effective_for_diabetes,is_bitter,is_cooling,reduces_kapha,active_compounds_count,has_blood_sugar_effect,efficacy_amplitude,system_frequency,phase_alignment,resonance_potential,half_life_hours,bioavailability,is_hot,reduces_phlegm,has_thirst_symptom,has_urination_symptom
Rose,Unani,False,,,,8,0,0.5915236073202541,0.5,0.6583240449591874,0.7748285338092045,,,1.0,0.0,,
Fennel,Unani,False,,,,5,1,0.6863401219361713,0.5,0.5800666917713526,0.555027905388365,,,0.0,0.0,,
Barley,Unani,False,,,,2,1,0.6731200845385523,0.5,0.49504822659777425,0.7173897915788272,,,0.0,1.0,,
Saffron,Unani,False,,,,2,0,0.5633586076434507,0.5,0.43773609241739625,0.7254414530727963,,,0.0,0.0,,
Honey,Unani,False,,,,8,0,0.3582776535662141,0.5,0.4440113483951884,0.41507070647966543,,,0.0,0.0,,
Uranium Nitricum,Homeopathic,True,,,,2,1,0.7998028077588737,0.25,0.6742520244460593,0.6869317028712498,,,,,0.0,0.0
Syzygium Jambolanum,Homeopathic,True,,,,4,1,0.7344415832348149,0.25,0.426242844422471,0.8752139014806025,,,,,0.0,1.0
Phosphoric Acid,Homeopathic,False,,,,3,0,0.31363227956722406,0.25,0.794958555011809,0.7474074923406093,,,,,1.0,0.0
Gymnema Sylvestre,Homeopathic,True,,,,4,1,0.8892404728850785,0.25,0.5211236455254906,0.8136003853464184,,,,,0.0,0.0
Cephalandra Indica,Homeopathic,False,,,,4,1,0.6401825193232281,0.25,0.7743131101943264,0.7434008424347037,,,,,1.0,0.0
Acid Phos,Homeopathic,False,,,,2,0,0.4480690883637523,0.25,0.3586296076732679,0.8971723443898415,,,,,0.0,0.0
Arsenicum Album,Homeopathic,False,,,,4,0,0.47460604283616603,0.25,0.7383516702587908,0.8102643852299114,,,,,1.0,0.0
Lycopodium,Homeopathic,False,,,,2,0,0.5059452856552992,0.25,0.7689657018095497,0.7263998212310244,,,,,1.0,0.0
Natrum Sulph,Homeopathic,False,,,,1,0,0.5639982408386022,0.25,0.5270770316516769,0.6924941591077131,,,,,1.0,1.0
Insulinum,Homeopathic,False,,,,4,1,0.6623911041428318,0.25,0.33446979846324265,0.6030284231500985,,,,,0.0,0.0
Bryonia Alba,Homeopathic,False,,,,1,0,0.42438280658610406,0.25,0.30586086092706855,0.7531761059873805,,,,,0.0,0.0
Chionanthus Virginica,Homeopathic,False,,,,1,0,0.5387123095092834,0.25,0.48794786841508,0.697550002519666,,,,,0.0,0.0
Iris Versicolor,Homeopathic,False,,,,5,0,0.4187187130385773,0.25,0.771441096935223,0.56063359645025,,,,,1.0,0.0
Phosphorus,Homeopathic,False,,,,4,0,0.551957545706371,0.25,0.6906245113717271,0.7788704551716293,,,,,1.0,0.0
Rhus Aromatica,Homeopathic,False,,,,4,0,0.5407462669909227,0.25,0.6729275042222729,0.5452211987050486,,,,,1.0,1.0
Allium Sativum,Homeopathic,False,,,,4,0,0.47644264025388733,0.25,0.3057474026792205,0.5392335899876216,,,,,0.0,0.0
Helleborus Niger,Homeopathic,False,,,,5,0,0.5523583798271225,0.25,0.36341364314957486,0.5994982018860345,,,,,0.0,1.0
Abroma Augusta,Homeopathic,False,,,,3,0,0.46659355155861465,0.25,0.7063990653801602,0.8336410320658006,,,,,0.0,1.0
Belladonna,Homeopathic,False,,,,3,0,0.5859193447306991,0.25,0.34154921514036213,0.69461214457762,,,,,1.0,1.0
Calendula,Homeopathic,False,,,,2,0,0.34200087167725063,0.25,0.6675524564844453,0.7358092868789033,,,,,0.0,1.0
