name,system,effective_for_diabetes,is_bitter,is_cooling,reduces_kapha,active_compounds_count,has_blood_sugar_effect,efficacy_amplitude,system_frequency,phase_alignment,resonance_potential,half_life_hours,bioavailability,is_hot,reduces_phlegm,has_thirst_symptom,has_urination_symptom
Liraglutide,Allopathic,1,0.0,0.0,0.0,2,1,0.7939865413029645,0.67,0.6856883017785378,0.6019123104659065,23.72246877762502,0.5955524101976128,0.0,0.0,0.0,0.0
Glimepiride,Allopathic,0,0.0,0.0,0.0,2,1,0.6123071843210431,0.67,0.7339993709212751,0.517926398597139,23.834512139198875,0.3815602344838971,0.0,0.0,0.0,0.0
Pioglitazone,Allopathic,0,0.0,0.0,0.0,2,1,0.513919483009701,0.67,0.7828672389334626,0.3961522953163447,7.821384006911693,0.4927557948591968,0.0,0.0,0.0,0.0
Acarbose,Allopathic,0,0.0,0.0,0.0,1,1,0.5829927091457956,0.67,0.5777414527897041,0.5310395427687028,20.24248131508242,0.6320579328638485,0.0,0.0,0.0,0.0
Canagliflozin,Allopathic,0,0.0,0.0,0.0,2,1,0.6858452615647814,0.67,0.7060404655860202,0.5918051228584723,6.318398466528595,0.5595518399436746,0.0,0.0,0.0,0.0
Glyburide,Allopathic,1,0.0,0.0,0.0,1,1,0.7810526752515149,0.67,0.7651433481354775,0.4465201185941091,2.654483994791484,0.3272750201464411,0.0,0.0,0.0,0.0
Rosiglitazone,Allopathic,1,0.0,0.0,0.0,1,1,0.8073460477082514,0.67,0.8257220222215502,0.4252450841376789,6.9788759656933,0.4806222528841494,0.0,0.0,0.0,0.0
Repaglinide,Allopathic,0,0.0,0.0,0.0,3,1,0.5277719221356255,0.67,0.8854178987503586,0.6290940452217169,21.9519365620625,0.5357094673614864,0.0,0.0,0.0,0.0
Dapagliflozin,Allopathic,0,0.0,0.0,0.0,1,1,0.5022627140405068,0.67,0.6941194260531197,0.3720665133729487,11.0055283242131,0.8338350613181356,0.0,0.0,0.0,0.0
Exenatide,Allopathic,0,0.0,0.0,0.0,3,1,0.6174465419641285,0.67,0.9447416874327084,0.706018936150826,20.06200418659193,0.7208656952741036,0.0,0.0,0.0,0.0
Dulaglutide,Allopathic,0,0.0,0.0,0.0,3,1,0.6919785264459437,0.67,0.6870196636783191,0.4260156931254913,10.723684496878892,0.5905041832847571,0.0,0.0,0.0,0.0
Saxagliptin,Allopathic,1,0.0,0.0,0.0,2,1,0.8201589436663574,0.67,0.8306549521160078,0.7805688576819446,6.201660353760915,0.7095039027276167,0.0,0.0,0.0,0.0
Linagliptin,Allopathic,0,0.0,0.0,0.0,3,1,0.5645893421966304,0.67,0.8543595065301143,0.7601667210306037,7.281206440045159,0.6763458883076816,0.0,0.0,0.0,0.0
Semaglutide,Allopathic,0,0.0,0.0,0.0,3,1,0.6532948274258817,0.67,0.8316544346689771,0.513159911056569,22.992829296020936,0.6127566873067427,0.0,0.0,0.0,0.0
Glipizide,Allopathic,0,0.0,0.0,0.0,2,1,0.6465520201974413,0.67,0.5491780058939901,0.4094045943340023,12.46115680887993,0.6489053534410194,0.0,0.0,0.0,0.0
Nateglinide,Allopathic,1,0.0,0.0,0.0,2,1,0.8344847829958641,0.67,0.6474350287864425,0.6358098074439347,17.70905373540908,0.4609072647602404,0.0,0.0,0.0,0.0
Insulin,Allopathic,1,0.0,0.0,0.0,2,1,0.8045657272380854,0.67,0.6286800978613487,0.4560884148199689,5.020956562523278,0.6860711765028896,0.0,0.0,0.0,0.0
Myrtle,Unani,1,0.0,0.0,0.0,4,1,0.7258359892859972,0.5,0.5960970341383337,0.6567648563024189,0.0,0.0,1.0,0.0,0.0,0.0
Black Seed,Unani,0,0.0,0.0,0.0,7,1,0.6652573207098118,0.5,0.7777764185152707,0.5230839913583776,0.0,0.0,0.0,1.0,0.0,0.0
Aloe,Unani,0,0.0,0.0,0.0,2,0,0.6325041397174176,0.5,0.6870002192654296,0.8011825578951192,0.0,0.0,1.0,0.0,0.0,0.0
Olive,Unani,0,0.0,0.0,0.0,5,0,0.5545350202888035,0.5,0.6726457394727282,0.5766648475395668,0.0,0.0,1.0,1.0,0.0,0.0
Garlic,Unani,0,0.0,0.0,0.0,5,0,0.3351881942552415,0.5,0.478645532342833,0.5206421842985538,0.0,0.0,1.0,0.0,0.0,0.0
Gooseberry,Unani,0,0.0,0.0,0.0,5,0,0.5729706244093973,0.5,0.6249370114403919,0.5739497076815705,0.0,0.0,0.0,1.0,0.0,0.0
Bitter Gourd,Unani,1,0.0,0.0,0.0,5,1,0.8904511604522596,0.5,0.453288907483297,0.4773695993946408,0.0,0.0,1.0,1.0,0.0,0.0
Coriander,Unani,0,0.0,0.0,0.0,7,0,0.3976284770008894,0.5,0.829277767789312,0.839532585859111,0.0,0.0,1.0,0.0,0.0,0.0
Pomegranate,Unani,0,0.0,0.0,0.0,7,0,0.5940958120671069,0.5,0.4630415063173032,0.5579160644763863,0.0,0.0,0.0,0.0,0.0,0.0
Chicory,Unani,1,0.0,0.0,0.0,2,1,0.7017810885003997,0.5,0.6435234806555824,0.5501049221193862,0.0,0.0,1.0,0.0,0.0,0.0
Rose,Unani,0,0.0,0.0,0.0,8,0,0.5915236073202541,0.5,0.6583240449591874,0.7748285338092045,0.0,0.0,1.0,0.0,0.0,0.0
Fennel,Unani,0,0.0,0.0,0.0,5,1,0.6863401219361713,0.5,0.5800666917713526,0.555027905388365,0.0,0.0,0.0,0.0,0.0,0.0
Barley,Unani,0,0.0,0.0,0.0,2,1,0.6731200845385523,0.5,0.4950482265977742,0.7173897915788272,0.0,0.0,0.0,1.0,0.0,0.0
Saffron,Unani,0,0.0,0.0,0.0,2,0,0.5633586076434507,0.5,0.4377360924173962,0.7254414530727963,0.0,0.0,0.0,0.0,0.0,0.0
Honey,Unani,0,0.0,0.0,0.0,8,0,0.3582776535662141,0.5,0.4440113483951884,0.4150707064796654,0.0,0.0,0.0,0.0,0.0,0.0
Uranium Nitricum,Homeopathic,1,0.0,0.0,0.0,2,1,0.7998028077588737,0.25,0.6742520244460593,0.6869317028712498,0.0,0.0,0.0,0.0,0.0,0.0
Syzygium Jambolanum,Homeopathic,1,0.0,0.0,0.0,4,1,0.7344415832348149,0.25,0.426242844422471,0.8752139014806025,0.0,0.0,0.0,0.0,0.0,1.0
Phosphoric Acid,Homeopathic,0,0.0,0.0,0.0,3,0,0.313632279567224,0.25,0.794958555011809,0.7474074923406093,0.0,0.0,0.0,0.0,1.0,0.0
Gymnema Sylvestre,Homeopathic,1,0.0,0.0,0.0,4,1,0.8892404728850785,0.25,0.5211236455254906,0.8136003853464184,0.0,0.0,0.0,0.0,0.0,0.0
Cephalandra Indica,Homeopathic,0,0.0,0.0,0.0,4,1,0.6401825193232281,0.25,0.7743131101943264,0.7434008424347037,0.0,0.0,0.0,0.0,1.0,0.0
Acid Phos,Homeopathic,0,0.0,0.0,0.0,2,0,0.4480690883637523,0.25,0.3586296076732679,0.8971723443898415,0.0,0.0,0.0,0.0,0.0,0.0
Arsenicum Album,Homeopathic,0,0.0,0.0,0.0,4,0,0.474606042836166,0.25,0.7383516702587908,0.8102643852299114,0.0,0.0,0.0,0.0,1.0,0.0
Lycopodium,Homeopathic,0,0.0,0.0,0.0,2,0,0.5059452856552992,0.25,0.7689657018095497,0.7263998212310244,0.0,0.0,0.0,0.0,1.0,0.0
Natrum Sulph,Homeopathic,0,0.0,0.0,0.0,1,0,0.5639982408386022,0.25,0.5270770316516769,0.6924941591077131,0.0,0.0,0.0,0.0,1.0,1.0
Insulinum,Homeopathic,0,0.0,0.0,0.0,4,1,0.6623911041428318,0.25,0.3344697984632426,0.6030284231500985,0.0,0.0,0.0,0.0,0.0,0.0
Bryonia Alba,Homeopathic,0,0.0,0.0,0.0,1,0,0.424382806586104,0.25,0.3058608609270685,0.7531761059873805,0.0,0.0,0.0,0.0,0.0,0.0
Chionanthus Virginica,Homeopathic,0,0.0,0.0,0.0,1,0,0.5387123095092834,0.25,0.48794786841508,0.697550002519666,0.0,0.0,0.0,0.0,0.0,0.0
Iris Versicolor,Homeopathic,0,0.0,0.0,0.0,5,0,0.4187187130385773,0.25,0.771441096935223,0.56063359645025,0.0,0.0,0.0,0.0,1.0,0.0
Phosphorus,Homeopathic,0,0.0,0.0,0.0,4,0,0.551957545706371,0.25,0.6906245113717271,0.7788704551716293,0.0,0.0,0.0,0.0,1.0,0.0
Rhus Aromatica,Homeopathic,0,0.0,0.0,0.0,4,0,0.5407462669909227,0.25,0.6729275042222729,0.5452211987050486,0.0,0.0,0.0,0.0,1.0,1.0
Allium Sativum,Homeopathic,0,0.0,0.0,0.0,4,0,0.4764426402538873,0.25,0.3057474026792205,0.5392335899876216,0.0,0.0,0.0,0.0,0.0,0.0
Helleborus Niger,Homeopathic,0,0.0,0.0,0.0,5,0,0.5523583798271225,0.25,0.3634136431495748,0.5994982018860345,0.0,0.0,0.0,0.0,0.0,1.0
Abroma Augusta,Homeopathic,0,0.0,0.0,0.0,3,0,0.4665935515586146,0.25,0.7063990653801602,0.8336410320658006,0.0,0.0,0.0,0.0,0.0,1.0
Belladonna,Homeopathic,0,0.0,0.0,0.0,3,0,0.5859193447306991,0.25,0.3415492151403621,0.69461214457762,0.0,0.0,0.0,0.0,1.0,1.0
Calendula,Homeopathic,0,0.0,0.0,0.0,2,0,0.3420008716772506,0.25,0.6675524564844453,0.7358092868789033,0.0,0.0,0.0,0.0,0.0,1.0
